,Owner,BuildingsOwned,TotalSquareFootage,TotalGHGEmissions__metric_tons_,TotalElectricity_kBtu_,TotalSteamUse_kBtu,TotalNaturalGas_kBtu,TotalOtherFuelUse_kBtu,AverageGHGEmissionsIntensity,AverageSiteEUI_kBtu_sf,AverageSourceEUI_kBtu_sf,AverageENERGYSTARScore
1038,PERFECTION PROPERTIES L L C+ALLSWELL L L C+HALF-TIME IV L L C,1,37760,5,998002,0,0,0,0.1,26.4,74.0,88.0
1039,HIDDEN CREEK ASSOCIATES,1,88096,12,2271775,0,0,0,0.1,25.8,72.2,77.0
1040,HUP LINK-14 LLC,1,20132,2,539345,0,0,0,0.1,26.8,75.0,83.0
1041,12040 28TH AVENUE LLC,1,36172,4,750696,0,0,0,0.1,27.6,77.4,76.0
1042,WILLOWS COURT LLC,1,93472,14,2629363,0,0,0,0.1,28.1,78.8,89.0
1043,THORNTON CREEK APARTMENTS LLC,1,48965,7,1450591,0,0,0,0.2,29.6,83.0,86.0
1044,NORTHBROOK PLACE LTD PARTNSHIP,1,63670,11,2178147,0,0,0,0.2,34.2,95.8,44.0
1045,PRE LAKE CITY 26 LLC,1,24052,3,645834,0,0,0,0.1,26.9,75.2,75.0
1046,WANG LISA TS,1,43132,6,1158561,0,0,0,0.1,26.9,75.2,67.0
1047,CRE NORTH SEATTLE PARTNERS LLC,1,56074,8,1571274,0,0,0,0.1,28.0,78.5,79.0
1048,YOSHIKAWA REVERSE L L C,1,30942,5,981423,0,0,0,0.2,31.7,88.8,59.0
1049,AAC/FSC CLOCKTOWER INVESTORS LLC,1,113994,19,3743496,0,0,0,0.2,32.8,92.0,55.0
1050,INVESTMENTS LLC,1,86835,10,2017322,0,0,0,0.1,38.2,107.1,35.0
1051,ACME WMR PARK 3025 LLC,1,93087,23,1775338,0,258940,0,0.2,21.9,56.3,95.0
1052,K GROUP VILLAGER LLC,1,29773,3,723659,0,0,0,0.1,22.8,63.8,82.0
1053,PILAT LLC,1,27951,3,709350,0,0,0,0.1,29.6,82.8,78.0
1054,MCGUIRE COURT ASSOCIATES,1,41685,7,1474111,0,0,0,0.2,35.4,99.0,55.0
1055,MGRE 10522 LCW LLC,1,36264,5,989506,0,0,0,0.1,27.3,76.4,
1056,PINEHURST LLC,1,51387,6,1186083,0,0,0,0.1,22.0,61.5,87.0
1057,RIVIERA NORTHGATE APARTMENTS LLC,1,36408,5,985036,0,0,0,0.1,27.1,75.8,
1058,KIMBERLY APARTMENTS LLC,1,39632,6,1175753,0,0,0,0.2,22.8,63.9,71.0
1059,ROOSEVELT SQUARE APARTMENTS LLC,1,43406,7,1360948,0,0,0,0.2,31.4,87.8,92.0
1060,KISH LLC,1,25144,3,689285,0,0,0,0.1,27.4,76.8,79.0
1061,ACTIVSPACE AT LUNA PARK LLC,1,35176,5,981610,0,0,0,0.1,34.0,95.1,
1062,DPE INVESTMENTS LLC,1,23888,3,607841,0,0,0,0.1,25.4,71.2,80.0
1063,TRINITY WEST SEATTLE,1,23562,12,362727,0,199110,0,0.5,13.3,29.0,72.0
1064,SNR 24 BRIDGE PARK OWNER LLC,1,144682,95,3261331,0,1471853,0,0.7,32.7,73.8,99.0
1065,WCSD 9601 35TH AVE SW LLC,1,23772,0,0,0,0,0,0.0,,,
1066,SALTY'S PROPERTIES II L L C,1,20398,226,2235952,0,4049225,0,11.1,308.1,515.4,
1067,LAKE CITY 5 LLC,1,25406,28,1314132,0,399207,0,1.1,67.4,161.3,
1068,PIERRE FAMILY LIMITED PARTNERSHIP,1,37377,104,1148363,0,1857804,0,2.8,80.4,138.2,
1069,26TH AVENUE BUILDING LLC,1,21936,0,0,0,0,0,,,,
1070,DB FIVE SEATTLE GROCERY LLC,1,51400,325,5724312,0,5551192,0,6.3,217.5,421.6,82.0
1071,QUINTON PROPERTIES LLC,1,44755,219,5088786,0,3617811,0,4.9,185.3,384.2,81.0
1072,FRED MEYER STORES INC,1,121087,423,8681336,0,7096095,0,3.5,130.3,262.3,85.0
1073,NORTHGATE STORAGE LLC,1,33344,0,0,0,0,0,,,,
1074,NE 130TH ST LLC,1,34176,34,241886,0,628733,0,1.0,17.3,26.6,
1075,SCHARMACH SEATTLE LLC,1,35115,32,1198696,0,484275,0,0.9,47.9,110.1,
1076,13355 LAKE CITY WAY NE ASSOCIATES,1,38787,80,2107910,0,1295844,0,2.1,87.8,187.2,
1077,NORTHGATE 3 LLC,1,104460,65,1887592,0,1047770,0,0.6,28.1,61.1,100.0
1078,LAKE CITY PROJECT ASSOCIATES,1,73526,72,1617991,0,1201941,0,1.0,30.5,62.6,87.0
1079,ORIGIN APARTMENT INVESTORS LLC,1,141698,87,2622636,0,1383402,0,0.6,28.3,62.1,99.0
1080,VILLA APPIA LLC,1,57731,10,1440130,0,60345,0,0.2,26.0,70.9,99.0
1081,LIHI MEADOWBROOK ASSOCIATES LLC C/O LOW INCOME HOUSING INSTITUTE,1,50192,9,1721179,0,0,0,0.2,38.4,107.4,
1082,PROMENADE LAKE CITY LLC,1,72985,10,1984202,0,0,0,0.1,27.2,76.1,83.0
1083,LAKE CITY WAY 137 ASSOCIATES LLC,1,124773,72,2772884,0,1083200,0,0.6,30.9,71.3,99.0
1084,SOLARA SEATTLE APARTMENTS LLC,1,227479,294,4888905,0,5051833,0,1.3,44.8,85.7,93.0
1085,FSC LAKE CITY ASSOCIATES LLC,1,46489,12,2262281,0,0,0,0.3,25.7,71.9,
1086,FAIRFIELD LAKE CITY LP,1,159277,112,3909306,0,1725996,0,0.7,29.1,65.9,97.0
1087,ATHLON LLC,1,38797,4,789720,0,0,0,0.1,20.4,57.0,98.0
1088,VALOR APARTMENT ASSOCIATES,1,20128,3,624662,0,0,0,0.2,29.7,83.2,42.0
1089,HENRY PROSPEROUS PROPERTY LLC,1,32817,4,894739,0,0,0,0.1,27.1,76.0,94.0
1090,EQR-MADISON LLC,1,110944,96,2123588,0,1611163,0,0.9,33.7,68.8,100.0
1091,AMSTAR KOZ SLU LLC,1,25000,2,554427,0,0,0,0.1,25.2,70.5,100.0
1092,NORTHGATE LODGING LLLP,1,105154,115,2764471,0,1903625,0,1.1,44.3,92.4,100.0
1093,PHINNEY FLATS LLC,1,26023,19,466461,0,311100,0,0.7,34.7,72.8,100.0
1094,AURORA HOUSING DEVELOPMENT LLC,1,34723,31,1415077,0,442988,0,0.9,53.5,127.5,50.0
1095,HTS WALLY LLC,1,23660,3,725437,0,0,0,0.2,32.3,90.4,47.0
1096,NORTHPOINT COLLAGE LLC,1,31962,5,992812,0,0,0,0.2,39.8,111.5,55.0
1097,LICTON SPRINGS LLC,1,25338,4,760354,0,0,0,0.2,30.0,84.0,85.0
1098,GUINEVERE LLC,1,114443,18,3400853,0,0,0,0.2,29.7,83.2,92.0
1099,MILAN APARTMENTS LLC,1,45271,4,789651,0,0,0,0.1,17.5,49.1,99.0
1100,WALLINGFORD MIRABELLA L L C,1,48118,7,1394866,0,0,0,0.2,29.3,82.1,76.0
1101,FREMONT COURT INVESTMENTS LLC,1,30055,4,858919,0,0,0,0.2,28.6,80.0,
1102,JAMES B ROSE FAMILY LLC,1,22151,2,512311,0,0,0,0.1,23.1,64.8,92.0
1103,FOSMIRE DAVID+WATSON SHELLY,1,24809,2,512098,0,0,0,0.1,20.6,57.8,95.0
1104,KEYSTONE PLACE APARTMENTS LLC,1,21880,4,850797,0,0,0,0.2,38.9,108.9,
1105,IBARRIENTOS-DRUMMOND EDEN,1,23101,3,669701,0,0,0,0.2,29.0,81.2,70.0
1106,OSWELL BAKERSFIELD RETAIL ASSOCIATES LLC +MERIDIAN GROUP ASSCIATES LLC +ET AL,1,27176,89,345163,0,1653580,0,3.3,73.5,99.5,34.0
1107,J B BERGEN LLC,1,21440,2,526260,0,0,0,0.1,24.5,68.7,80.0
1108,CRE QUEEN CITY LLC,1,28187,18,302524,0,321104,0,0.7,22.1,42.0,95.0
1109,WOODLAND PARK VIEW APTS LLC,1,27413,3,732949,0,0,0,0.1,34.3,95.9,64.0
1110,WOODLAND COURT LLC,1,28256,4,582399,0,26789,0,0.2,21.6,58.7,93.0
1111,GREENLAKE MANOR LLC,1,24920,51,198172,0,945937,0,2.1,45.9,62.1,90.0
1112,GRANVIEW HOLDINGS LLC,1,21031,3,653368,0,0,0,0.2,31.1,87.0,89.0
1113,SEDGES LLC,1,52626,11,1036353,0,103024,0,0.2,21.7,57.2,
1114,WEST LEE L L C,1,30174,4,828677,0,0,0,0.1,27.5,76.9,80.0
1115,TRINITY STONEHEDGE LLC,1,135228,18,1183879,0,231293,0,0.1,25.7,64.7,97.0
1116,SUNRAY APTS LLC,1,20529,2,430005,0,0,0,0.1,20.9,58.6,
1117,HAYES APARTMENTS LLC,1,114403,81,2365329,0,1300074,0,0.7,26.2,57.1,97.0
1118,MAUI GROUP LLC,1,38100,6,1180411,0,0,0,0.2,36.4,101.9,65.0
1119,GREEN LAKE TYEE LLC,1,27390,4,751500,0,0,0,0.1,32.3,90.4,86.0
1120,STONE WAY APARTMENTS L L C,1,79364,70,1698421,0,1155948,0,0.9,42.1,88.0,83.0
1121,36 FREMONT GREEN LLC,1,41403,28,796640,0,449892,0,0.7,29.7,64.3,99.0
1122,MIRA VALLEY ASSOCIATES LLC,1,40778,7,1359472,0,0,0,0.2,35.6,99.6,83.0
1123,NORTHBRIDGE APARTMENTS LLC,1,45956,6,1122990,0,0,0,0.1,33.9,94.9,49.0
1124,GREENWOOD AVENUE INVESTORS LLC,1,56319,50,2245090,0,730553,0,0.9,52.8,125.2,41.0
1125,REDCO OCCIDENTAL 547 OWNER LLC,1,83400,0,0,0,0,0,,,,
1126,PANAMA INTERNATIONAL CORP,1,40552,48,155345,0,903212,0,1.2,26.1,34.1,100.0
1127,AMERICAN HOTEL BUILDING LLC,1,33018,135,1402022,0,2409499,0,4.1,115.4,195.5,75.0
1128,PIONEER SQUARE HOTEL CO,1,45500,79,744970,720779,295218,0,1.7,38.7,71.7,98.0
1129,1005 SPRING STREET LLC,1,35770,69,488930,0,1262324,0,1.9,49.0,75.3,93.0
1130,REYNOLDS HOTEL LLC,1,35820,137,839425,0,2509893,0,3.8,93.5,139.2,98.0
1131,HPT IHG-2 PROPERTIES TRUST,1,169037,55,2378165,0,798875,0,0.3,16.6,39.3,100.0
1132,THE SORRENTO HOTEL PARTNERSHIP,1,76631,104,1889801,0,1773010,0,1.4,47.8,93.3,98.0
1133,ARCTIC CLUB HOTEL LLC,1,104352,131,3488511,1290818,106573,0,1.3,46.8,109.6,96.0
1134,MADISON HOTEL LLC,1,331281,366,12687952,0,5629402,0,1.1,52.6,119.0,91.0
1135,EXECUTIVE HOTEL SEATTLE L L C,1,65009,198,1145568,1315934,1572366,0,3.1,62.1,99.1,78.0
1136,618 SECOND AVENUE LIMITED PS+GOLDEN RAINBOW FREEDOM FUND LIMITED PS ET AL,1,163984,309,4721618,0,5351700,0,1.9,61.4,114.9,92.0
1137,GREENLAKE SELF STORAGE LLC,1,134748,43,303144,0,779734,0,0.3,10.6,16.4,
1138,IRON MOUNTAIN RECORDS MGMT INC,1,53472,1,326824,0,0,0,0.0,5.7,16.1,
1139,DAMBROSIO ENTERPRISES LLC,1,28808,244,5087712,0,4097520,0,8.5,294.6,595.0,57.0
1140,DESC N96 SUPPORTIVE HOUSING LLP,1,56404,61,1679536,0,994858,0,1.1,47.6,102.4,84.0
1141,TAYLOR GREENLAKE LLC,1,24227,6,721069,0,58208,0,0.3,21.7,58.0,91.0
1142,WH GREENWOOD II LLC,1,82514,37,1624747,0,534603,0,0.4,26.2,61.9,86.0
1143,ROSCOMMON L.L.C,1,68648,10,2057535,0,0,0,0.2,29.0,81.2,
1144,HOWARD PARK LLC,1,36600,27,574887,0,455767,0,0.7,33.7,68.2,96.0
1145,NORTH 46TH PROPERTIES L.L.C,1,29840,3,685431,0,0,0,0.1,23.0,64.3,97.0
1146,UNIVERSITY HOUSE AT WALLINGFORD L L C,1,159507,151,4930524,0,2358515,0,0.9,45.7,102.1,41.0
1147,PICKERING PLACE L L C,1,36709,4,886383,0,0,0,0.1,24.2,67.6,98.0
1148,FREMONT DOCK CO,1,157896,21,4121713,0,0,0,0.1,34.5,96.5,87.0
1149,ST JAMES TOWER ASSOCIATES,1,86358,30,2462167,0,333408,0,0.4,32.4,83.9,95.0
1150,KG PORTOFINO LLC,1,25885,4,755058,0,0,0,0.2,29.3,82.0,98.0
1151,REEP-MF WALLINGFORD WA LLC,1,76966,75,1582415,0,1252972,0,1.0,36.8,74.7,94.0
1152,SALVATION ARMY SEATTLE RESIDEN,1,46439,32,1032707,0,507431,0,0.7,33.2,73.7,69.0
1153,TRIMARK I LLC,1,22448,2,528204,0,0,0,0.1,23.5,65.9,88.0
1154,MRM-BEN LOMOND LLC,1,40489,98,533051,0,1808666,0,2.4,57.8,83.8,79.0
1155,BROADWAY ESTATES LLC,1,61758,36,1759226,0,514015,0,0.6,30.4,73.0,97.0
1156,W R P ASSOCIATES HARVARD AVE LLC,1,44751,46,753371,0,799141,0,1.0,34.7,65.9,100.0
1157,SHELTON INVESTOR JV LLC,1,38701,29,681624,0,484515,0,0.8,30.1,62.5,100.0
1158,BENDER DEVELOPMENT LP+BENDER EQUITIES INC,1,79820,50,2013252,0,749357,0,0.6,34.6,80.5,91.0
1159,120 HARVARD AVENUE E LLC,1,42980,6,1241214,0,5316,0,0.2,40.9,114.2,79.0
1160,CAROLINE W LLC,1,22455,15,730588,0,223389,0,0.7,44.2,105.6,89.0
1161,ICP 422 SUMMIT LLC,1,33625,22,698280,0,352241,0,0.7,31.1,68.9,96.0
1162,B & O DEVELOPMENT L L C,1,72528,56,3347761,0,727208,0,0.8,56.2,139.8,15.0
1163,500 BELMONT AVENUE E LLC,1,42064,7,1347947,0,0,0,0.2,32.0,89.7,98.0
1164,ICP 418 BELLEVUE LLC,1,24457,20,740580,0,313619,0,0.8,34.4,78.3,98.0
1165,ESSEX BROADWAY LLC,1,286644,115,6989441,0,1471721,0,0.4,37.7,94.1,77.0
1166,FANEUIL HALL APTS L L C,1,30259,28,831588,0,445902,0,0.9,38.7,84.8,
1167,BILTMORE ASSOCIATES L L C,1,95611,408,1170891,0,7565581,0,4.3,91.4,117.4,45.0
1168,TOCK BELMONT APARTMENTS LLC,1,32753,4,810940,0,0,0,0.1,24.8,69.3,100.0
1169,WOODCREEK LANE APTS LLC,1,31570,17,684453,0,266096,0,0.6,30.1,69.6,97.0
1170,BROADWAY INVESTMENT LTD,1,38160,86,494502,0,1577069,0,2.3,54.3,79.7,91.0
1171,MAVIS GROUP LLC,1,40597,5,965448,0,0,0,0.1,23.8,66.6,91.0
1172,CAMERON PARTNERS LLC,1,42182,106,503548,0,1949603,0,2.5,58.2,82.0,91.0
1173,CAMERON MERCER LLC,1,40721,6,1152213,0,0,0,0.2,28.3,79.2,76.0
1174,RL LAKEVIEW PLACE LLC,1,24441,1,199817,0,0,0,0.0,8.2,22.9,100.0
1175,HILLREE INVESTORS 2010 LLC,1,25459,4,872554,0,0,0,0.2,34.3,96.0,80.0
1176,MILLER ASHLEY,1,115511,157,2197601,0,2748831,0,1.4,34.1,62.3,94.0
1177,ERAWAN LLC,1,37417,5,946893,0,0,0,0.1,25.3,70.9,91.0
1178,RAMAYANA LLC,1,36814,5,969526,0,0,0,0.1,24.7,69.2,79.0
1179,EQR-HEIGHTS ON CAPITOL HILL LLC,1,87735,20,2712328,0,114490,0,0.2,42.4,115.7,83.0
1180,RGD MARK SPENCER 2014 LLC+MARK SPENCER PARTNERS LLC,1,28833,22,945364,0,337324,0,0.8,44.5,104.1,83.0
1181,EAST APARTMENTS LLC,1,59414,18,2829350,0,64021,0,0.3,48.1,132.7,87.0
1182,MABEL H SMITH FAMILY LLC,1,56144,8,1620332,0,0,0,0.2,28.9,80.8,76.0
1183,2203 EASTLAKE AVE EAST LLC,1,41687,41,754382,0,705817,0,1.0,35.0,68.4,98.0
1184,KIM ED,1,85284,101,2558161,0,1653009,0,1.2,47.8,100.9,99.0
1185,TRIAD INVESTMENTS CO INC,1,56986,60,1968590,0,948401,0,1.1,32.0,71.5,16.0
1186,LAKE UNION CENTER PHASE ONE LT,1,95426,20,3926475,0,0,0,0.2,41.0,114.7,83.0
1187,PHINNEY NEIGHBORHOOD ASSOCIATION,1,23835,60,136975,0,1120181,0,2.5,52.7,65.4,
1188,4135 AC LLC +ADLER DONALD H,1,28080,22,104911,0,417475,0,0.8,18.6,26.1,80.0
1189,MARINER SQUARE L L C,1,78716,36,3433837,0,335264,0,0.5,47.9,126.6,
1190,M&G INVESTMENT & FINANCING CO,1,33062,9,1809840,0,0,0,0.3,54.7,153.3,
1191,SATURN BUILDING LLC,1,46958,14,1406681,0,128893,0,0.3,32.7,86.8,86.0
1192,BLUEPRINT 3414 LLC,1,32601,62,1698685,0,1002983,0,1.9,64.6,138.9,
1193,SEATTLE INVESTMENT PRTNRS 1998 LLC,1,56041,350,7640669,0,5836792,0,6.3,212.1,433.2,1.0
1194,SWL LLC,1,26050,79,1436065,0,1356358,0,3.1,67.5,131.5,
1195,GREENWOOD 85TH STREET LLC,1,51000,10,998492,0,103718,0,0.2,21.6,57.0,
1196,FREMONT BUILDING LLC,1,27480,6,1132371,0,0,0,0.2,36.7,102.7,71.0
1197,DUBLINER BUILDING LLC,1,20516,43,77465,0,806550,0,2.1,48.7,58.6,
1198,SCHOOL BISHOP BLANCHET HIGH,1,175015,255,2062362,0,4602005,0,1.5,35.1,55.8,90.0
1199,9620 STONE AVENUE NORTH LLC,1,25111,20,449376,0,346808,0,0.8,36.0,73.4,82.0
1200,4010 ASSOCIATES,1,20410,57,1128905,0,967619,0,2.8,102.7,204.7,13.0
1201,9 TO 5 LLC,1,20660,2,551069,0,0,0,0.1,22.1,61.9,95.0
1202,NORTHLAKE OWNER LLC,1,49782,14,2652492,0,0,0,0.3,60.4,169.2,57.0
1203,RPT WALLINGFORD PLAZA LLC,1,31774,20,1487662,0,235306,0,0.6,50.9,130.4,65.0
1204,SEVENTEEN METERS LLC,1,53108,16,2551651,0,47700,0,0.3,48.9,135.5,62.0
1205,TRUE FOUNDRY LLC,1,22388,8,200363,0,144832,0,0.4,15.4,31.9,
1206,PECK BUILDING LLC THE,1,27730,12,922465,0,134314,0,0.4,38.1,98.2,83.0
1207,AD 936 N 34TH ST LLC,1,23307,23,497870,0,398870,0,1.0,34.1,69.0,73.0
1208,FREMONT SPACE L L C,1,27526,11,772575,0,134128,0,0.4,32.9,83.7,
1209,4000A LLC,1,21436,2,390514,0,0,0,0.1,18.2,51.0,97.0
1210,UPG STONE 34 PROPERTY OWNER LLC,1,126842,145,3547989,0,2382058,0,1.1,42.2,88.5,97.0
1211,CKS 2155 LLC,1,57619,31,5372112,0,62910,0,0.6,94.3,262.2,13.0
1212,KR LAKEVIEW LLC,1,113768,17,3264592,0,0,0,0.2,29.0,81.3,93.0
1213,LIMPOPO PROPERTIES LLC,1,53472,23,4346414,0,0,0,0.4,81.3,227.6,33.0
1214,UV 316 ALASKAN LLC,1,22200,12,33790,0,226701,0,0.6,11.7,15.0,
1215,WLAM PROPERTY ASSOCIATION,1,59000,25,879761,0,399652,0,0.4,22.1,49.7,
1216,UNICO BOP WASHINGTON PARK LLC,1,44558,16,684160,0,246219,0,0.4,20.9,48.8,88.0
1217,IRP PERRY APARTMENTS LLC,1,175870,165,4109150,0,2708180,0,0.9,36.7,77.3,96.0
1218,888 WESTERN AVENUE LLC,1,120836,133,6817548,0,1836959,0,1.1,42.7,103.7,66.0
1219,COPPINS WELL OWNER LLC,1,193868,200,5636389,0,3214420,0,1.0,37.5,81.1,89.0
1220,223 YESLER LLLP,1,166471,139,3756776,0,2258278,0,0.8,37.6,80.6,93.0
1221,PIONEER PRESERVATION ASSOCIATES LP,1,90959,114,2767404,0,1886138,0,1.3,51.2,107.0,65.0
1222,OPUS NORTHWEST LLC,1,66924,243,724150,0,4511825,0,3.6,85.4,110.3,
1223,HILLTOP HOUSE,1,92183,317,1985182,3532062,250729,0,3.4,62.6,109.2,
1224,FH LLC,1,455459,92,17419379,0,0,0,0.2,27.7,77.5,55.0
1225,1200 MADISON ASSOCIATES L L C,1,90000,123,1007461,0,2223890,0,1.4,35.9,57.3,97.0
1226,SAHNEY VIKRAM N,1,231352,368,7059704,0,6230499,0,1.6,57.4,113.7,24.0
1227,CYPRESS-OT8 LLC+DAVIS-OTB LLC+CROSS CREEK-OTB LLC,1,256482,275,11508400,0,4034705,0,1.1,46.6,109.4,50.0
1228,CRE LOWMAN PARTNERS LLC,1,65535,103,1797616,1132099,0,0,1.6,44.7,97.6,72.0
1229,255 SOUTH KING STREET LP,1,510999,458,21495846,0,6471380,0,0.9,54.7,131.1,89.0
1230,SOO YUEN INC,1,20620,15,437018,0,240729,0,0.7,32.9,71.6,
1231,CATHAY INVESTMENT LLC,1,22480,15,909423,0,206107,0,0.7,41.2,102.0,
1232,UNITED STATES OF AMERICA,1,26000,22,640575,0,357174,0,0.9,38.4,83.4,
1233,CHINN INVESTMENTS LLC,1,29631,101,2181822,0,1693634,0,3.4,114.0,232.0,
1234,GOOD ARTS LLC,1,28600,22,663297,0,352514,0,0.8,39.1,85.7,
1235,U.S. RUBBER BUILDING LLC,1,72000,32,590986,0,544968,0,0.4,19.9,39.0,
1236,PIERS 55 & 56 LLC,1,62900,200,2947847,0,3474860,0,3.2,97.7,181.0,
1237,HART FIRST HILL LLC,1,227569,1439,11707490,16594533,0,0,6.3,123.2,229.6,63.0
1238,BTI SEVENTH AND MADISON LP,1,201560,99,14259192,0,453720,0,0.5,73.1,200.6,60.0
1239,HCP 1101 MADISON MOB LLC,1,282363,129,24359005,0,0,0,0.5,173.5,485.7,4.0
1240,PUGET SOUND BLOOD CENTER & PROGRAM,1,96783,447,8960096,4814700,0,0,4.6,142.3,319.1,45.0
1241,EAST-WEST INVESTMENT CO INC,1,43380,78,1534731,0,1323347,0,1.8,65.9,131.1,65.0
1242,LI-HI SEATTLE,1,41536,0,0,0,0,0,0.0,,,
1243,CHIN LUND+JERRILYN,1,24550,17,352611,0,289936,0,0.7,26.2,52.6,
1244,SWEAZEY INVESTMENTS L L C,1,61156,133,6274265,0,1881380,0,2.2,140.7,337.2,
1245,VBGO DANFORTH LLC,1,448484,203,5620096,0,3277350,0,0.5,19.8,42.8,
1246,HUDSON 1000 OLIVE WAY LLC,1,45320,102,1268081,0,1804429,0,2.3,67.8,120.2,
1247,GO-BRICKMAN BRODERICK OWNER LLC,1,89550,48,2408968,428310,0,0,0.5,31.2,79.9,93.0
1248,SAN MARCO LLC,1,24840,19,422798,0,325236,0,0.8,30.1,61.4,88.0
1249,PACIFIC SUN NORTHWEST INC,1,42331,6,1206966,0,0,0,0.2,28.5,79.8,
1250,S/I SEATTLE INVESTMENTS IV LLC,1,41452,67,480752,0,1222277,0,1.6,41.1,63.4,98.0
1251,RISER GYNE+RISER FAMILY TRUST,1,75187,279,2046353,0,5049295,0,3.7,83.7,130.2,
1252,CORONA BUILDING LLC,1,39594,20,661288,0,316797,0,0.5,24.7,55.2,
1253,SUSTAINABLE URBAN DEVELOPMENT #1 LLC,1,23338,97,695912,0,1764636,0,4.2,77.8,120.2,
1254,AUDITORIUM APARTMENTS LLC,1,33694,30,823712,0,492568,0,0.9,27.8,59.7,89.0
1255,GIN HOLDINGS LLC,1,34560,17,750985,0,253515,0,0.5,28.8,67.8,88.0
1256,FRANK W S MAR INVESTMENTS LLC,1,46560,215,1580023,0,3903024,0,4.6,159.5,247.9,
1257,GERALD AND ALYCE ARAI FAMILY LP,1,24171,17,374438,0,289609,0,0.7,30.7,62.6,
1258,YESSIX LLC,1,27600,4,815014,0,0,0,0.2,43.4,121.4,86.0
1259,CRE 315 MAYNARD LLC,1,23200,3,705349,0,0,0,0.2,30.4,85.1,
1260,CAI SUNLIGHT PROPERTIES LLC,1,27494,2,528058,0,0,0,0.1,19.2,53.8,
1261,CHOW FAMILY CO L L C,1,36000,6,1156655,0,0,0,0.2,32.1,90.0,
1262,GOVERNOR BUILDING LLC,1,20304,58,222501,0,1078133,0,2.9,64.1,86.4,91.0
1263,STATE HOTEL LLC,1,21840,2,419055,0,0,0,0.1,15.8,44.1,100.0
1264,GEE HOW OAK TIN FOUNDATION,1,25600,3,576853,0,0,0,0.1,80.1,224.3,
1265,MONTICELLO APARTMENTS II LLC,1,51098,9,1685374,0,0,0,0.2,33.0,92.4,90.0
1266,423 TERRY PARTNERS LLC,1,39990,4,885130,0,0,0,0.1,31.6,88.5,
1267,STARLIGHT APARTMENTS LLC,1,24039,5,965140,0,0,0,0.2,40.1,112.4,72.0
1268,WESTMINSTER ASSOCIATES LLC,1,31979,4,309188,0,47056,0,0.1,13.6,35.1,100.0
1269,VBC MADISON LP,1,54770,41,642543,0,724315,0,0.8,34.7,65.0,100.0
1270,TERRA VARIES INVESTMENT LLC +ENVOY FIRST HILL LLC,1,25380,61,216955,0,1126351,0,2.4,52.9,70.5,96.0
1271,CLARWOOD ASSOCIATES,1,24900,49,334878,0,900943,0,2.0,49.6,75.6,94.0
1272,QUINTET INVESTMENTS INC,1,46445,94,518088,0,1727498,0,2.0,48.3,70.3,91.0
1273,ERP OPERATING LIMITED PARTNERSHIP,1,71226,82,2235695,0,1324833,0,1.2,50.0,107.4,66.0
1274,JOHN ALDEN ASSOCIATES LLC,1,58503,133,573883,0,2448081,0,2.3,51.7,71.4,87.0
1275,PAUL REVERE APARTMENTS LLC,1,43606,5,1113361,0,0,0,0.1,31.2,87.5,88.0
1276,HR FIRST HILL MEDICAL BUILDING SPE LLC,1,89025,61,6363957,0,525078,0,0.7,77.3,206.2,31.0
1277,BXP MADISON CENTRE I LLC (UND 70%)+BXP MADISON CENTRE II LLC (UND 30%(TNTS IN CMN),1,788000,270,20080978,0,3084493,0,0.3,28.5,73.2,92.0
1278,PRU 114 LLC,1,74211,5,995635,0,0,0,0.1,12.0,33.5,100.0
1279,FRONTAL EW OLYMPIC BLOCK LLC,1,73102,22,4171252,0,0,0,0.3,55.6,155.8,67.0
1280,TEMASEK L L C,1,116640,139,3664744,1450538,0,0,1.2,43.9,102.9,85.0
1281,SEATTLE DOWNTOWN HOTEL & RESIDENCES LLC,1,52298,8,1523111,0,0,0,0.2,29.2,81.6,88.0
1282,EXPEDITORS INTERNATIONAL OF WA INC,1,219095,65,12375846,0,0,0,0.3,57.3,160.4,74.0
1283,POLSON HOLDINGS LLC,1,112560,63,2655020,0,925944,0,0.6,35.5,83.3,96.0
1284,BCSP MARITIME BUILDING,1,211043,24,4550591,0,6363,0,0.1,20.4,56.9,99.0
1285,HISTORIC SEATTLE PRESERVATION & DEVELOPMENT AUTHORITY,1,56700,14,2730683,0,0,0,0.3,48.2,134.8,51.0
1286,UNICO BOP COLMAN BUILDING LLC,1,166975,234,4723348,1966342,864590,0,1.4,45.2,98.8,90.0
1287,505 UNION STATION LTD,1,312512,118,22126039,0,14692,0,0.4,70.8,198.3,62.0
1288,REEDO LP,1,66842,86,2139994,0,1413630,0,1.3,66.3,139.4,52.0
1289,NEUBERT FAMILY LIMITED PARTNERSHIP,1,73470,14,2809987,0,0,0,0.2,38.2,107.1,81.0
1290,IC U S A NO 8 PROPERTY PARTNERSHIP,1,160580,98,6235379,467901,502859,0,0.6,44.9,115.5,64.0
1291,BURKE-STATE BLDG LLC,1,164380,94,4508003,474403,582207,0,0.6,38.5,95.6,89.0
1292,TATNUCK VENTURES LLC,1,62176,33,3341567,0,297183,0,0.5,48.2,128.1,
1293,GLOBE PARTNERS LLC,1,69817,84,1126460,730508,329963,0,1.2,36.0,72.2,75.0
1294,ONE HUNDRED KING L L C,1,73260,14,2631397,0,0,0,0.2,41.2,115.4,80.0
