f,Owning Entity Best Guess (lookup into OwningEntities tab),HQ City,"Assets, $B, Best Guess",Owning Entity Category,Public/Private/Nonprofit/Condo status,"Company Info -- business model, how assets found, etc, incl links to evidence",Sustainability claim (any we happened to find while researching ownership),How Sleuthed. NOTE sheets bug broke hyperlinks. See tab AllSleuthData for links to supporting info,Who sleuthed owner,Sleuth pass,BEPS LegislationPropertyType,PropertyGFABuilding_s_,BuildingName,GHGEmissionsIntensityKgSqFt,TotalGHGEmissions__metric_tons_,June BEPS Target for 2031-2035,,Qualifies for Alt GHGIT,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType
888 WESTERN AVE,Griffis Residential,"Greenwood Village, CO",3.3,Real Estate Investment,Private Ownership,"Griffis Residential & Griffis Investments are part of Griffis Group, headed by Ian Griffis. ""Griffis Residential is a vertically integrated multifamily real estate investment firm that currently owns and manages approximately 7,000 Class-A apartment units valued at over $2.4 billion. Target markets include Denver, Seattle, Austin, Portland, Los Angeles, San Diego, and the San Francisco Bay Area. ""","""Sustainable living is at the forefront of the Griffis Residential mission. We are proud of our positive impact within our communities and continuing efforts to make our communities as environmentally friendly as possible.""",search addr+owner finds biz journal article on sale to Griffis,Alice,3,Multifamily Housing,120836,THE POST AT PIER 52 APTS,1.1,134,0.89,0,FALSE,49733,7666202540,2020,Multifamily HR (10+),888 WESTERN AVENUE LLC,1,DOWNTOWN,,2013,SEATTLE,WA,98104,47.60336,-122.33615,,,Multifamily HR (10+),66,,42.7,42.7,8654505,8654505,103.7,103.7,1836959,18370,6817548,1998109,0,,194228,73392,1,16,Multifamily Housing,202675,Parking,71418,,,,No Issue,Compliant,,,Multifamily Housing
201 S KING ST,Pillar Properties,Seattle,0.53,Seattle Real Estate - Large,Private Ownership,See AUMCalculations tab for back of the envelope very conservative AUM calculation,,"Nolo & The Wave were co-developed by Pillar with Daniels Real Estate, but it's implied here that they are now Pilar's responsibility, and listed on Pillar homepage as ""owned"".",Neal,3,Multifamily Housing,490593,STADIUM PLACE  (THE WAVE & THE NOLO),1,470,0.89,0,FALSE,49992,7953000000,2020,Multifamily HR (10+),,2,DOWNTOWN,,2014,SEATTLE,SEATTLE,98104,47.59785,-122.33235,,,Multifamily HR (10+),98,,42.4,43.1,19266608,18974716,88.6,89.3,7717209,77172,11257508,3299387,0,,619416,128823,1,26,Multifamily Housing,430927,Parking,128823,Retail Store,16103,,No Issue,Compliant,,,Multifamily Housing
2015 2ND AVE,Weidner Apartment Homes,"Kirkland, WA",7.5,Real Estate Investment & Management,Private Ownership,"""Weidner is the 15th largest apartment owner in the country, with 58,556 units in their U.S. portfolio. Weidner has grown by 3,749 units since 2022, when they were previously ranked as the 14th largest apartment owner in the U.S. Weidner’s total international portfolio is 65,000 units, with 6,444 units in Canada."". See AUMCalculations tab for back of the envelope very conservative AUM calculation","With the best interest of Seattle always at heart, Clise Properties is eager to continue building the future of this vibrant city",Listed as a property in their portfolio,Alex,1,Multifamily Housing,412344,TOWER 12,1,430,0.89,0,FALSE,50285,1977200885,2020,Multifamily HR (10+),WA TOWER 12 APARTMENTS LLC,1,DOWNTOWN,,2016,SEATTLE,SEATTLE,98121,47.61171,-122.34231,,,Multifamily HR (10+),83,,40,40.6,16729796,16487350,81.6,82.2,7156293,71563,9331059,2734777,0,,539039,126695,1,39,Multifamily Housing,388426,Parking,126695,Retail Store,23918,,No Issue,Compliant,,,Multifamily Housing
815 PINE ST,Heitman Investment,"Chicago, IL",53,Real Estate Investment,Private Ownership,"Heitman is a global real estate investment management firm with over $53 billion in assets under management as of December 31, 2022",,,Alice,1,Multifamily Housing,379494,PREMIERE ON PINE,1,369,0.89,0,FALSE,50014,660000915,2020,Multifamily HR (10+),HART PINE LLC,7,DOWNTOWN,,2014,SEATTLE,SEATTLE,98101,47.61324,-122.33223,,,Multifamily HR (10+),63,,54,54,16608130,16608130,117.7,117.7,5878068,58781,10730061,3144801,0,,499477,119983,1,41,Multifamily Housing,304473,Parking,113548,Restaurant,3337,,No Issue,Compliant,,,Multifamily Housing
1000 1ST AVE,Lighthouse Investments,,,Real Estate Development and Management,Private Ownership,"""Lighthouse Investments, LLC is a privately held, national real estate investment and development company that combines the traditional values of real estate investment with innovative methods of management  and development.""  Note: they appear to be NOT the same thing as the giant Lighthouse Investment Partners in Boston.",,https://news.theregistryps.com/loews-hotels-and-resorts-sells-hotel-1000-in-seattle-for-55mm/,Neal,3,Hotel,370327,HOTEL 1000,1,368,2.06,0,FALSE,27673,5017300000,2020,NonResidential,,1,DOWNTOWN,NOT_FOUND,2006,SEATTLE,WA,98104,47.60505,-122.3361,,,Hotel,89,,63.6,64.7,12836524,12618064,122.6,123.7,6292756,62928,6325309,1853842,0,,392552,22225,1,10,Hotel,198400,Parking,52400,,,,No Issue,Compliant,,,Hotel
401 5TH AVE,King County,Seattle,N/A,"Government (Seattle, UW, etc)",Government,,,Found article on King County's buildings in Seattle: https://kingcounty.gov/initiatives/civic-campus-master-plan.aspx,Alex,3,Office,319539,CHINOOK BLDG - KING COUNTY,1,307,0.81,0,FALSE,360,942001105,2020,NonResidential,KING-COUNTY GOVT,7,DOWNTOWN,NOT_FOUND,2006,SEATTLE,WA,98104,47.60249,-122.32854,,,Office,95,,55.7,56.2,15980162,15835512,127.3,126.9,4669720,46697,11165794,3272507,0,,372242,52703,1,13,Office,276506,Parking,55153,Pre-school/Daycare,5638,,No Issue,Compliant,,,Office
2801 1ST AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,235003,FIRST AND BROAD CONDO (ELLINGTON),1,234,0.89,0,FALSE,21941,2559300000,2020,Multifamily HR (10+),,1,DOWNTOWN,NOT_FOUND,2000,SEATTLE,WA,98121,47.61631,-122.35209,,,Multifamily HR (10+),52,,50.7,51.9,10612091,10356494,109.8,111.2,3739650,37396,6616844,1939286,0,,264239,29236,1,12,Multifamily Housing,200837,Parking,29236,Food Sales,3582,,No Issue,Compliant,,,Multifamily Housing
1401 2ND AVE,Target Corporation,"Minneapolis, MN",17.8,"Other large busines (chain store, storage, Amazon, etc)",Private Ownership,"""Target Corporation is an American big box department store chain headquartered in Minneapolis, Minnesota. It is the seventh largest retailer in the United States, and a component of the S&P 500 Index. ""","""Our vision is to co-create an equitable and regenerative future together with our guests, partners and communities. We call our sustainability strategy Target Forward, and it’s how we’re leveraging our size and scale to benefit people, the planet and our business.""
","Matches LLC, address is Target's headquarters",Alex,1,Retail Store,103000,PIKE PLAZA - TARGET STORE,1,106,1.03,0,FALSE,34348,6065000020,2020,NonResidential,TARGET CORPORATION,1,DOWNTOWN,,1991,SEATTLE,WA,98101,47.6087,-122.33884,,,Retail Store,51,,78.2,79.5,7633876,7509295,193.9,195.3,1375000,13750,6134295,1797859,0,,103000,0,1,3,Retail Store,96018,Parking,0,,,,No Issue,Compliant,,,Retail Store
2000 4TH AVE,Accor Group,"Issy-les-Moulineaux, France",11.7,Hotel Chain,Private Ownership,"Wiipedia: ""Accor S.A. is a French multinational hospitality company that owns, manages and franchises hotels, resorts and vacation properties.[4] It is the largest hospitality company in Europe, and the sixth largest hospitality company worldwide""...Assets €10.7 billion",,"Search ""2000 4TH AVE seattle owner"" finds that Accor group remodeled the property which is owned by a franchisee.  If they didn't include a heat pump in the remodel, they should take care of it moving forward. Franchised, but Accor is the larger entity and should make sure its hotel has a heat pump",Alice,3,Hotel,104000,HOTEL ANDRA,1,103,2.06,0,FALSE,20372,1604500000,2020,NonResidential,,1,DOWNTOWN,116,1925,SEATTLE,WA,98121,47.61337,-122.33995,,,Hotel,100,,27.5,28,3130706,3074738,59.7,60.3,196540,1965,1889476,553774,988722,,104000,0,1,9,Hotel,111987,Parking,6300,Other - Restaurant/Bar,3000,,No Issue,Compliant,,,Hotel
1221 1ST AVE,Equity Residential,"Chicago, IL",20.2,Real Estate Investment,Private Ownership,Wikipedia: Equity Residential is a publicly traded real estate investment trust that invests in apartments. Total assets        Increase $21.169 billion (2021),,,Alice,1,Multifamily Housing,970647,HARBOR STEPS NE SITE,0.9,892,0.89,0,FALSE,21476,1976200075,2020,Multifamily HR (10+),EQR-HARBOR STEPS LLC,7,DOWNTOWN,170,2000,SEATTLE,WA,98101,47.60635,-122.33817,,,Multifamily HR (10+),71,,44.9,46,44617480,43593392,100.8,103.2,13820264,138203,29773129,8726005,0,,1256335,285688,1,28,Multifamily Housing,871459,Parking,285688,Retail Store,50213,,No Issue,Compliant,,,Multifamily Housing
255 S KING ST,American Life Inc.,Seattle,1.5,Real Estate Investment,Private Ownership,"The EB-5 visa program provides a method for eligible immigrant investors to become lawful permanent residents — informally known as “green card” holders — by investing at least $1,050,000 to finance a business in the United States that will employ a minimum of 10 American workers. Most foreign nationals who use the EB-5 program invest in a “Targeted Employment Area” (TEA) — a rural area or area with high unemployment – which lowers the investment threshold to $800,000.",,Found article on refinancing of building that lists American Life Inc. as the owner,Alex,3,Mixed Use Property,510999,EMBASSY SUITES- DOWNTOWN SEATTLE,0.9,458,#N/A,#N/A,#N/A,50454,7666204878,2020,NonResidential,255 SOUTH KING STREET LP,1,DOWNTOWN,,2018,SEATTLE,SEATTLE,98104,47.59812,-122.33099,,,Mixed Use Property,89,,54.7,55.4,28292754,27967226,131.1,131.8,6471380,64714,21495846,6300072,0,,680770,169771,1,23,Hotel,291079,Office,209473,Parking,169771,,No Issue,Compliant,,,Mixed Use Property
1812 BOREN AVE,Urban Renaissance Group,Seattle,2,Seattle Real Estate - Large,Private Ownership,"""We’re a full-service real estate company. We handle it all, from building acquisition to ground-up development and major renovations to property management and engineering. Having all these disciplines in-house is our competitive advantage."" Note: Joshua Green Corporation (JGC) holds a majority stake, and Jay Green may or may not own most of JGC. See AUMCalculations tab for back of the envelope assets guess.","""We often pursue adaptive reuse for older buildings, including environmental retrofits that comply with LEED standards. Our track record of success in this area has shown that greening existing office buildings is a prudent investment. It improves property performance, both in greater tenant attraction and retention and in reduced operating costs.""",Google address+owner found sale to & development by Touchstone + Touchstone acquired by URG who still list the property,Alice,3,Office,424994,TILT 49 (MULTIFAMILY PORTION),0.9,383,0.81,0,FALSE,50356,8647700000,2020,Multifamily HR (10+),,1,DOWNTOWN,,2017,SEATTLE,SEATTLE,98101,47.61698,-122.33195,,,Multifamily HR (10+),88,,37.3,37.9,16351562,16095984,79.1,79.5,6226692,62267,9869292,2892524,0,,424994,0,1,37,Multifamily Housing,431999,Parking,91570,,,,No Issue,Compliant,,,Office
1600 2ND AVE,Equity Residential,"Chicago, IL",20.2,Real Estate Investment,Private Ownership,Wikipedia: Equity Residential is a publicly traded real estate investment trust that invests in apartments. Total assets        Increase $21.169 billion (2021),,,Alice,1,Multifamily Housing,432000,HELIOS APTS,0.9,370,0.89,0,FALSE,50099,7683890010,2020,Multifamily HR (10+),EQR-SECOND AND PINE LLC,1,DOWNTOWN,,2019,SEATTLE,SEATTLE,98101,47.61067,-122.33957,,,Multifamily HR (10+),82,,42.3,43.1,16834816,16535140,92,92.8,5909476,59095,10625664,3114204,0,,559958,127958,1,39,Multifamily Housing,390743,Parking,151254,,,,No Issue,Compliant,,,Multifamily Housing
809 OLIVE WAY,Metlife Investment Management,"New York, NY",592.6,Asset Management,Private Ownership,Asset Management including real estate and other investment instruments,,"Googled ""The Olivian ""Metlife""""",Alice,1,Multifamily Housing,340214,THE OLIVIAN,0.9,290,0.89,0,FALSE,20093,660000835,2020,Multifamily HR (10+),MMP OLIVIAN OWNER LLC,1,DOWNTOWN,224,2008,SEATTLE,WA,98101,47.61397,-122.33351,,,Multifamily HR (10+),30,,50.4,51,15366282,15173667,115.7,117.4,4368885,43689,10804780,3166700,0,,501239,161025,1,27,Multifamily Housing,301239,,,,,,No Issue,Compliant,,,Multifamily Housing
2505 2ND AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,276497,LEGACY CENTRE & ARBOR PLACE CONDO,0.9,258,0.89,0,FALSE,684,254600000,2020,Multifamily HR (10+),,1,DOWNTOWN,NOT_FOUND,1989,SEATTLE,WA,98121,47.61534,-122.34844,,,Multifamily HR (10+),76,,42.8,43.9,12142059,11836669,94.1,95.4,4080370,40804,7756298,2273241,0,,358176,81679,1,26,Multifamily Housing,198911,Parking,81769,Office,59371,,No Issue,Compliant,,,Multifamily Housing
2201 6TH AVE,AFL-CIO Building Investment Trust,"Washington, DC",6.4,Real Estate Investment,Private Ownership,"""The primary objective of the BIT is to generate competitive risk-adjusted returns by investing in Real Estate investments that have the potential to offer the BIT current cash return, long-term capital appreciation, or both.  The BIT also created and operates comprehensive union labor policies designed to help create union jobs throughout the country.""",,Found article on BIT buying building; might somehow be related to Beacon Capital as the addresses match ,Alex,1,Office,261722,BLANCHARD PLAZA,0.9,232,0.81,0,FALSE,751,697000235,2020,NonResidential,BIT BCAL BLANCHARD PROPERTY LLC,1,DOWNTOWN,NOT_FOUND,1983,SEATTLE,WA,98121,47.61599,-122.34165,,,Office,78,,55.2,56.2,15190980,14922884,133.9,135,3194336,31943,11728549,3437441,0,,378002,116280,1,15,Office,270237,Parking,71602,,,,No Issue,Compliant,,,Office
2600 2ND AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,255205,SEATTLE HEIGHTS CONDOMINIUM,0.9,222,0.89,0,FALSE,23373,7656900000,2020,Multifamily HR (10+),3RD & CEDAR LLC,7,DOWNTOWN,NOT_FOUND,1993,SEATTLE,WA,98121,47.61633,-122.34894,,,Multifamily HR (10+),,,36.1,36.8,11676188,11434621,82.3,83.7,3381139,33811,8053483,2360341,0,,260685,5480,1,25,Multifamily Housing,305179,Parking,93906,Office,4412,,No Issue,Compliant,,,Multifamily Housing
110 STEWART ST,Hyatt,"Chicago, IL",12.6,Hotel Chain,Private Ownership,Business model is Hyatt brands and co-owns/manages  hotels/resorts/etc with local franchise owners such as RC Hedreen in Seattle.  ,,"Owned by Thompson, which is a subsidiary of Hyatt",Alex,3,Multifamily Housing,208664,THOMPSON SEATTLE HOTEL + SEQUEL APTS,0.9,189,0.89,0,FALSE,50246,1977200960,2020,Multifamily HR (10+),ODGAARD PEDER R+ODGAARD FAMILY TRUST,1,DOWNTOWN,,2017,SEATTLE,SEATTLE,98101,47.6107,-122.34136,,,Multifamily HR (10+),90,,53.3,53.7,10114448,10035292,122.9,123.3,2834783,28348,7200507,2110348,0,,253664,45000,1,12,Hotel,96801,Multifamily Housing,91478,Parking,54194,,No Issue,Compliant,,,Multifamily Housing
2401 3RD AVE,Chainqui Development (TW: 2509) ,Taiwan,0.276,Real Estate Development and Management,Private Ownership,"Company: Their website redirects to Seattle-specific site with very little info, but it's clear they are buy and building mixed use in Seattle. $8,375M Taiwan * 0.033$T/$US=$0.276 US",,Finally found a record not behind a paywall:,Alice,3,Multifamily Housing,141619,O2 Apartments,0.9,130,0.89,0,FALSE,50377,656000215,2020,Multifamily HR (10+),CHAINQUI DEVELOPMENT BELLTOWN LLC,1,DOWNTOWN,,2018,SEATTLE,SEATTLE,98121,47.61543,-122.34651,,,Multifamily HR (10+),95,,33.5,34,4818175,4745512,66.7,67.1,2193691,21937,2551821,747896,0,,167344,25725,1,12,Multifamily Housing,141619,Parking,25725,,,,No Issue,Compliant,,,Multifamily Housing
1501 PIKE PL,Pike Place Market Preservation & Development Authority,Seattle,N/A,Nonprofit,Nonprofit/Religious Ownership,,,"""who owns pike place market building"" finds this: ""Pike Place Market is operated by the Pike Place Market Preservation & Development Authority (PDA), a not-for-profit public corporation that was chartered as a result of Seattlelites’ voting in 1971 to save the historic Market from urban development. The Pike Place Market PDA which began operating in 1973, owns the majority of the Market and manages the day-to-day activities to support the hundreds of farmers, craftspeople, small businesses, and residents.""",Alice,3,Mixed Use Property,137400,MAIN MARKET,0.9,127,#N/A,#N/A,#N/A,419,1976200205,2020,Campus,,1,DOWNTOWN,NOT_FOUND,1908,SEATTLE,WA,98101,47.60881,-122.34119,,,Mixed Use Property,,,74.3,74.3,9036815,9036815,184.3,184.3,1646230,16462,7390586,2166057,0,,137400,0,1,4,Retail Store,44078,Other - Restaurant/Bar,19182,Multifamily Housing,14380,,No Issue,Compliant,,,Mixed Use Property
