,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,Address,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,TotalGHGEmissions__metric_tons_,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,GHGEmissionsIntensityKgSqFt,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFABuilding_s_,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType,electric_co2_m3_kwh
263,21329,1978200340,2020,Multifamily MR (5-9),SOVREIGN APARTMENTS,SOVEREIGN ASSOCIATES LLC C/O CITY CENTER REAL ESTATE,7,EAST,49,1925,1317 BOREN AVE,SEATTLE,WA,98101,47.61187,-122.3278,,,Multifamily MR (5-9),3.3,,,,,,,,,0.1,0,0,612339,179466,0,0,47154,37676,9478,1,5,Multifamily Housing,37676,Parking,9478,,,,Missing 2020 EUI or Electricity Data,Not Compliant,,,Multifamily Housing,1.8387884056032897e-05
267,21340,1978200750,2020,Multifamily MR (5-9),TUSCANY APTS,TUSCANY PARTNERS L L C+RON DANZ VICA LIMITED LIABILITY COMPANY+JENNIFER ANN LIMITED LIABILITY COMPANY,3,EAST,87,1928,1215 SENECA ST,SEATTLE,WA,98101,47.61136,-122.32454,,,Multifamily MR (5-9),11.6,87,,36.7,37.4,2226690,2185391,102.8,104.7,0.2,0,0,2185391,640502,0,0,82776,59534,23242,1,5,Multifamily Housing,57784,Parking,23242,Office,1750,,No Issue,Compliant,,,Multifamily Housing,1.8110794345685103e-05
269,21357,1978201230,2020,Multifamily MR (5-9),THE SENECA APARTMENTS,CAPITOL HILL HOUSING IMPROVEMENT,3,EAST,32,1998,1214 BOYLSTON AVE,SEATTLE,WA,98101,47.61266,-122.3232,,,Multifamily MR (5-9),3.5,88,,30.1,30.1,659306,659306,84.4,84.4,0.2,0,0,659306,193232,0,0,32870,21832,11038,1,5,Multifamily Housing,21877,Parking,7875,,,,No Issue,Compliant,,,Multifamily Housing,1.811294195578372e-05
270,21479,1976200140,2020,Multifamily MR (5-9),POST ALLEY COURT - APTS,POST ALLEY COURT APARTMENTS NW LLC,1,DOWNTOWN,59,1989,1408 WESTERN AVE,SEATTLE,WA,98101,47.6078,-122.34014,,,Multifamily MR (5-9),7.5,90,,33.2,34.2,1461864,1419469,92.9,95.7,0.2,0,0,1419469,416023,0,0,42765,42765,0,1,8,Multifamily Housing,42765,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8027849421786776e-05
273,21497,1977200435,2020,Multifamily MR (5-9),FAIRMOUNT APTS,TW FAIRMOUNT PARTNERS L P,1,DOWNTOWN,NOT_FOUND,1914,1901 1ST AVE,SEATTLE,WA,98101,47.61033,-122.34184,,,Multifamily MR (5-9),4.2,64,,23.7,24.3,818238,797848,66.3,68.0,0.1,0,0,797848,233836,0,0,39528,39528,0,1,5,Multifamily Housing,33680,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7961306214611952e-05
276,22347,2570280000,2020,Multifamily MR (5-9),FIX BUILDING THE CONDOMINIUM,,7,DOWNTOWN,NOT_FOUND,1910,1507 WESTERN AVE,SEATTLE,WA,98101,47.60846,-122.34167,,,Multifamily MR (5-9),4.1,91,,22.1,22.6,788008,770667,61.8,63.2,0.1,0,0,770667,225870,0,0,34909,34909,0,1,6,Multifamily Housing,34909,,,,,,Account Requires Verification,Not Compliant,,,Multifamily Housing,1.815203435604551e-05
277,23167,8560600000,2020,Multifamily MR (5-9),TALISMAN CONDOMINIUM,,7,EAST,NOT_FOUND,1965,1000 UNION ST,SEATTLE,WA,98101,47.61233,-122.32895,,,Multifamily MR (5-9),7.7,85,,32.4,33.6,1500985,1446724,90.6,94.0,0.2,0,0,1446724,424010,0,0,44616,44616,0,1,5,Multifamily Housing,44702,,,,,,No Issue,Compliant,,,Multifamily Housing,1.815994905780524e-05
278,23924,3324000000,2020,Multifamily MR (5-9),HILLCLIMB COURT CONDOMINIUM,,7,DOWNTOWN,NOT_FOUND,1982,1425 WESTERN AVE,SEATTLE,WA,98101,47.60791,-122.3414,,,Multifamily MR (5-9),8.1,,,42.1,43.4,1561484,1515251,117.9,121.5,0.2,0,0,1515252,444095,0,0,124260,42360,81900,1,5,Parking,81900,Multifamily Housing,31924,Office,4049,,No Issue,Compliant,,,Multifamily Housing,1.8239340681610915e-05
285,369,660001580,2020,NonResidential,SEATTLE VAULT SELF STORAGE,1 BOND TOWER LLC,1,DOWNTOWN,NOT_FOUND,1964,1800 TERRY AVE,SEATTLE,WA,98101,47.61591,-122.33238,,,Self-Storage Facility,3.0,,,6.0,6.1,569387,560003,16.7,17.0,0.0,0,0,560003,164127,0,0,93660,93660,0,1,5,Self-Storage Facility,93660,Parking,0,,,,No Issue,Compliant,,,Self-Storage Facility,1.8278528212908295e-05
286,711,7666202440,2020,NonResidential,PUBLIC STORAGE (STORE 8495),PUBLIC STORAGE,1,DOWNTOWN,NOT_FOUND,1912,1334 ALASKAN WAY,SEATTLE,WA,98101,47.60703,-122.34038,,,Self-Storage Facility,6.8,,,13.3,14.0,1338602,1269619,37.3,39.3,0.1,0,0,1269619,372104,0,0,95330,95330,0,1,5,Self-Storage Facility,95330,Parking,0,,,,No Issue,Compliant,,,Self-Storage Facility,1.827446090340335e-05
287,21095,1977201055,2020,NonResidential,DOWNTOWN SELF STORAGE,1915 3RD AVE LP,1,DOWNTOWN,NOT_FOUND,1928,1915 3RD AVE,SEATTLE,WA,98101,47.61179,-122.3404,,,Self-Storage Facility,4.4,,,17.9,19.0,883094,835496,50.2,53.1,0.1,0,0,835496,244870,0,0,46580,46580,0,1,6,Self-Storage Facility,46580,,,,,,No Issue,Compliant,,,Self-Storage Facility,1.7968718095315885e-05
295,21468,1975700560,2020,NonResidential,SHOWBOX BUILDING,1426 FIRST AVENUE L L C,7,DOWNTOWN,NOT_FOUND,1916,1412 1ST AVE,SEATTLE,WA,98101,47.60849,-122.33924,,,Other - Entertainment/Public Assembly,2.8,,,26.2,26.2,531120,531120,73.5,73.5,0.1,0,0,531120,155662,0,0,25920,25920,0,1,2,Other - Entertainment/Public Assembly,11888,Restaurant,6249,Retail Store,2109,,No Issue,Compliant,,,Entertainment/Public Assembly,1.7987691279824235e-05
298,570,2902201000,2020,NonResidential,NORTHWEST BLDG,,1,LAKE UNION,NOT_FOUND,1978,2323 EASTLAKE AVE E,SEATTLE,WA,98102,47.64037,-122.32626,,,Office,25.5,,,90.2,90.2,4793142,4793142,252.7,252.7,0.5,0,0,4793140,1404789,0,0,85385,54175,31210,1,4,Office,50235,Parking,25525,Data Center,2875,,No Issue,Compliant,,,Office,1.8152192250935906e-05
300,20835,1959701285,2020,NonResidential,EASTLAKE CENTER (SOUTH),BLUME EASTLAKE LTD PTRSHP,1,LAKE UNION,NOT_FOUND,1989,2815 EASTLAKE AVE E,SEATTLE,WA,98102,47.64596,-122.32628,,,Office,11.5,60,,52.7,53.6,2201906,2164966,147.4,149.9,0.3,0,0,2164966,634515,0,0,76245,42420,33825,0,3,Office,41117,Parking,33825,,,,No Issue,Compliant,,,Office,1.812407902098453e-05
301,20836,1959701300,2020,NonResidential,EASTLAKE CENTER (NORTH),BLUME EASTLAKE LTD PTRSHP,1,LAKE UNION,NOT_FOUND,1985,2825 EASTLAKE AVE E,SEATTLE,WA,98102,47.64642,-122.32581,,,Office,19.9,15,,91.2,93.3,3834372,3749457,255.3,261.1,0.5,0,0,3749457,1098903,0,0,61493,39814,21679,1,5,Office,38267,Parking,21679,Other,2850,,No Issue,Compliant,,,Office,1.8108968671484198e-05
302,21515,2025049030,2020,NonResidential,R.D. MERRILL BUILDING,R D MERRILL AT FAIRVIEW LLC,4,LAKE UNION,NOT_FOUND,2000,1938 FAIRVIEW AVE E,SEATTLE,WA,98102,47.6367,-122.3285,,,Office,13.4,29,,68.1,68.1,2516158,2516158,190.6,190.6,0.4,0,0,2516158,737444,0,0,50499,36959,13540,1,3,Office,36959,Parking,13540,,,,No Issue,Compliant,,,Office,1.8170871279717513e-05
305,23671,2902200925,2020,NonResidential,AREIS BUILDING,AREIS GROUP LLC,4,LAKE UNION,NOT_FOUND,1959,2358 EASTLAKE AVE E,SEATTLE,WA,98102,47.64168,-122.32562,,,Office,7.4,84,,27.7,28.5,1436552,1392264,77.5,79.9,0.2,0,0,1392264,408049,0,0,50333,32297,18036,1,4,Office,50333,,,,,,No Issue,Compliant,,,Office,1.8135076914782294e-05
306,23672,2902200965,2020,NonResidential,2324 EASTLAKE,,4,LAKE UNION,NOT_FOUND,1986,2324 EASTLAKE AVE E,SEATTLE,WA,98102,47.6404,-122.32553,,,Office,10.9,,,60.0,61.5,2099534,2048548,167.9,172.1,0.3,0,0,2048548,600395,0,0,57432,35526,21906,1,4,Office,34160,Parking,19650,,,,No Issue,Compliant,,,Office,1.8154714812748275e-05
307,23674,2902201025,2020,NonResidential,2345 EASTLAKE,2345 EASTLAKE L L C,4,LAKE UNION,NOT_FOUND,2000,2345 EASTLAKE AVE E,SEATTLE,WA,98102,47.64113,-122.32625,,,Office,7.5,86,,41.7,41.7,1406974,1406974,116.9,116.9,0.2,0,0,1406974,412360,0,0,57132,35224,21908,1,3,Office,33705,Parking,21908,,,,No Issue,Compliant,,,Office,1.8187991075759045e-05
308,24274,3383900065,2020,NonResidential,THE HART FORD,BARNARD FAMILY LIMITED PARTNERSHIP,4,LAKE UNION,NOT_FOUND,1960,1820 EASTLAKE AVE E,SEATTLE,WA,98102,47.63567,-122.32522,,,Office,11.4,50,,62.6,62.6,2136383,2136383,175.4,175.4,0.3,0,0,2136383,626138,0,0,34110,34110,0,1,2,Office,34110,,,,,,No Issue,Compliant,,,Office,1.8206848969396524e-05
310,26587,4088802669,2020,NonResidential,OFFICE BUILDING,ARE-SEATTLE NO 14 LLC,4,LAKE UNION,NOT_FOUND,1998,1600 FAIRVIEW AVE E,SEATTLE,WA,98102,47.6342,-122.32661,,,Office,19.2,,,129.3,129.3,3619389,3619389,362.1,362.1,0.7,0,0,3619388,1060782,0,0,37639,27640,9999,1,3,Office,20434,Laboratory,7557,,,,No Issue,Compliant,,,Office,1.8099854635542458e-05
320,21652,2163901480,2020,Multifamily LR (1-4),HACIENDA,HACIENDA INVESTMENTS 2020 LLC,1,EAST,21,1925,1029 SUMMIT AVE E,SEATTLE,WA,98102,47.62835,-122.32653,,,Unclassified,0.0,,,,,,,,,0.0,0,0,0,0,0,0,24325,24325,0,1,2,,,,,,,,Portfolio Manager Account Not Shared,Not Compliant,,,Other,
321,22371,2617480000,2020,Multifamily HR (10+),420 MELROSE CONDOMINIUM,QWEST CORPORATION,1,EAST,NOT_FOUND,1992,420 MELROSE AVE E,SEATTLE,WA,98102,47.62272,-122.32742,,,Unclassified,0.0,,,,,,,,,0.0,0,0,0,0,0,0,31152,31152,0,1,10,,,,,,,,Portfolio Manager Account Not Shared,Not Compliant,,,Other,
322,24782,6848200285,2020,Multifamily LR (1-4),BORSEN,ANGELCREST PROPERTY L L C,1,EAST,20,1997,515 SUMMIT AVE E,SEATTLE,WA,98102,47.62365,-122.32561,,,Unclassified,0.0,,,,,,,,,0.0,0,0,0,0,0,0,24837,20642,4195,0,4,,,,,,,,Portfolio Manager Account Not Shared,Not Compliant,,,Other,
331,23641,7714600000,2020,Multifamily HR (10+),SHANNON CONDOMINIUM,,3,EAST,NOT_FOUND,1970,601 BELMONT AVE E,SEATTLE,WA,98102,47.62464,-122.32444,,,Multifamily HR (10+),23.1,18,,40.3,42.1,4543987,4351662,112.8,117.8,0.3,0,0,4351661,1275399,0,0,97160,81857,15303,1,12,Multifamily Housing,108000,Parking,12000,,,,No Issue,Compliant,,,Multifamily Housing,1.8111979074783656e-05
332,23789,3302700000,2020,Multifamily HR (10+),HIGHLANDER THE CONDOMINIUM,,3,EAST,NOT_FOUND,1965,525 BELMONT AVE E,SEATTLE,WA,98102,47.62395,-122.32442,,,Multifamily HR (10+),12.0,50,,34.0,34.9,2310231,2251240,95.3,97.8,0.2,0,0,2251240,659801,0,0,66150,54860,11290,1,11,Multifamily Housing,66150,,,,,,No Issue,Compliant,,,Multifamily Housing,1.818730192891493e-05
334,27189,7449000010,2020,Multifamily HR (10+),DENNY TERRACE,,3,EAST,222,1969,100 MELROSE AVE E,SEATTLE,WA,98102,47.61882,-122.32759,,,Multifamily HR (10+),33.4,49,,45.1,46.2,6426102,6274864,126.3,129.3,0.2,0,0,6274866,1839058,0,0,139127,139127,0,1,10,Multifamily Housing,139127,,,,,,No Issue,Compliant,,,Multifamily Housing,1.816147179697432e-05
336,19670,676000070,2020,Multifamily LR (1-4),THE ROUNDCLIFFE,ROUNDCLIFFE HOLDINGS LLC,1,EAST,32,1925,845 BELLEVUE PL E,SEATTLE,WA,98102,47.62702,-122.32696,,,Multifamily LR (1-4),4.6,68,,30.3,31.4,893907,863711,84.9,87.8,0.2,0,0,863711,253139,0,0,34800,28500,6300,1,3,Multifamily Housing,28500,Parking,6300,,,,No Issue,Compliant,,,Multifamily Housing,1.8171834446687393e-05
338,19934,704600000,2020,Multifamily LR (1-4),BELMONT LOFTS CONDOMINIUM,,3,EAST,NOT_FOUND,1989,231 BELMONT AVE E,SEATTLE,WA,98102,47.62059,-122.3244,,,Multifamily LR (1-4),5.1,,,36.0,36.6,966200,950877,100.8,102.4,0.2,0,0,950877,278686,0,0,31702,31702,0,1,4,Multifamily Housing,26418,Parking,14280,,,,No Issue,Compliant,,,Multifamily Housing,1.830016577797234e-05
340,20597,1817800135,2020,Multifamily LR (1-4),LANCASTER APTS,CCC LANCASTER LLC,3,EAST,32,1924,704 E THOMAS ST,SEATTLE,WA,98102,47.62121,-122.32292,,,Multifamily LR (1-4),3.4,82,,25.7,26.4,658592,640878,72.0,73.9,0.1,0,0,640878,187831,0,0,24939,24939,0,1,3,Multifamily Housing,24939,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8101378366723276e-05
341,20834,1959701270,2020,Multifamily LR (1-4),REMI APTS,ACME WMR REMI LLC,1,LAKE UNION,34,1996,2727 EASTLAKE AVE E,SEATTLE,WA,98102,47.64533,-122.32637,,,Multifamily LR (1-4),7.7,63,,26.3,26.3,1439882,1439882,73.7,73.7,0.2,0,0,1439882,422005,0,0,54721,36900,17821,1,4,Multifamily Housing,54721,Parking,17821,,,,No Issue,Compliant,,,Multifamily Housing,1.8246229310079264e-05
343,20848,1959702235,2020,Multifamily LR (1-4),KILLARNY APTS,KILLARNEY APARTMENTS LLC,1,NORTHEAST,22,1926,3008 HARVARD AVE E,SEATTLE,WA,98102,47.64816,-122.32169,,,Multifamily LR (1-4),3.4,53,,26.4,27.6,658145,631175,74.0,77.2,0.1,0,0,631175,184987,0,0,24367,23867,500,1,3,Multifamily Housing,23867,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8379669922751328e-05
345,20857,1959703130,2020,Multifamily LR (1-4),EASTLAKE GARDEN APTS & RETAIL,EASTLAKE GARDENS LLC,3,NORTHEAST,33,1997,3230 EASTLAKE AVE E,SEATTLE,WA,98102,47.65084,-122.32147,,,Multifamily LR (1-4),6.7,,,44.6,44.6,1256425,1256425,124.7,124.7,0.2,0,0,1256425,368237,0,0,45580,27683,17897,1,3,Multifamily Housing,24901,Parking,17897,Other - Restaurant/Bar,2560,,No Issue,Compliant,,,Multifamily Housing,1.8194803889886135e-05
346,21524,2025049091,2020,Multifamily LR (1-4),MINOR TOWER APARTMENTS,MINOR TOWER LLC,4,LAKE UNION,35,1974,2525 MINOR AVE E,SEATTLE,WA,98102,47.64272,-122.32866,,,Multifamily LR (1-4),5.4,51,,36.3,37.0,1025329,1006857,101.7,103.5,0.2,0,0,1006857,295093,0,0,37361,32626,4735,1,4,Multifamily Housing,27732,,,,,,No Issue,Compliant,,,Multifamily Housing,1.829931580891448e-05
350,21647,2163900350,2020,Multifamily LR (1-4),SUMMIT VIEW,BELMONT+SUMMIT INC,3,EAST,28,1989,745 SUMMIT AVE E,SEATTLE,WA,98102,47.62644,-122.32578,,,Multifamily LR (1-4),3.0,95,,26.2,26.6,578126,568288,73.3,74.6,0.1,0,0,568288,166556,0,0,33692,25525,8167,1,4,Multifamily Housing,21696,Parking,8167,,,,No Issue,Compliant,,,Multifamily Housing,1.801195994140109e-05
354,21852,2329200000,2020,Multifamily LR (1-4),EMBASSY THE CONDOMINIUM,,3,EAST,NOT_FOUND,1985,2350 10TH AVE E,SEATTLE,WA,98102,47.64079,-122.31972,,,Multifamily LR (1-4),4.7,84,,19.6,20.1,910356,884640,54.8,56.4,0.1,0,0,884640,259273,0,0,45235,45197,38,1,3,Multifamily Housing,45235,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8127610665206175e-05
356,22929,2925049047,2020,Multifamily LR (1-4),MALABAR APT,MALABAR ASSOCIATES LLC,3,EAST,37,1961,170 MELROSE AVE E,SEATTLE,WA,98102,47.62037,-122.32768,,,Multifamily LR (1-4),4.2,67,,33.5,34.3,813976,795354,93.9,96.1,0.2,0,0,795354,233105,0,0,23727,23727,0,1,4,Multifamily Housing,23727,,,,,,No Issue,Compliant,,,Multifamily Housing,1.801763153943502e-05
357,22930,2925049048,2020,Multifamily LR (1-4),THE HAWAIIAN APARTMENT,HAWAIAN L L C THE,3,EAST,29,1959,235 BELLEVUE AVE E,SEATTLE,WA,98102,47.62037,-122.32705,,,Multifamily LR (1-4),3.2,79,,26.2,26.8,616532,601992,73.3,75.1,0.1,0,0,601992,176434,0,0,22992,22992,0,1,4,Multifamily Housing,22992,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8137093757439044e-05
358,22932,2925049052,2020,Multifamily LR (1-4),VIEWMONT APT,,3,EAST,46,1958,219 BELLEVUE AVE E,SEATTLE,WA,98102,47.62017,-122.3272,,,Multifamily LR (1-4),4.1,91,,28.0,28.7,798530,778619,78.3,80.3,0.1,0,0,778619,228200,0,0,27852,27852,0,1,3,Multifamily Housing,27852,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7966695880806307e-05
361,22983,2902200595,2020,Multifamily LR (1-4),VILLA ANITA APTS,FARIN BROTHERS PROPERTIES LLC,4,LAKE UNION,19,1977,2231 FRANKLIN AVE E,SEATTLE,WA,98102,47.63935,-122.32497,,,Multifamily LR (1-4),2.2,,,20.7,20.7,421694,421694,57.9,57.9,0.1,0,0,421694,123591,0,0,20383,20383,0,1,3,Multifamily Housing,20383,Parking,768,,,,No Issue,Compliant,,,Multifamily Housing,1.7800648914564978e-05
366,24275,3383900075,2020,Multifamily LR (1-4),LAKE UNION TERRACE,210 E BLAINE LLC,1,LAKE UNION,50,1994,210 E BLAINE ST,SEATTLE,WA,98102,47.6352,-122.32454,,,Multifamily LR (1-4),5.4,97,,23.7,23.9,1021357,1011474,66.3,67.0,0.1,0,0,1011474,296446,0,0,56649,42712,13937,1,4,Multifamily Housing,42712,Parking,13937,,,,No Issue,Compliant,,,Multifamily Housing,1.8215796468834124e-05
367,24276,3383900095,2020,Multifamily LR (1-4),1800 EASTLAKE APARTMENTS,1800 EASTLAKE LLC,4,LAKE UNION,30,1999,1800 EASTLAKE AVE E,SEATTLE,WA,98102,47.63516,-122.32502,,,Multifamily LR (1-4),4.0,93,,27.7,27.9,756329,749892,77.6,78.2,0.1,0,0,749891,219781,0,0,43969,27072,16897,1,3,Multifamily Housing,27072,Parking,16897,,,,No Issue,Compliant,,,Multifamily Housing,1.8199935390229364e-05
371,24659,6847700395,2020,Multifamily LR (1-4),CARROLL AND KENSINGTON APTS,CAPITOL HILL PARTNERS LLC,3,EAST,58,1908,305 BELLEVUE AVE E,SEATTLE,WA,98102,47.621,-122.32702,,,Multifamily LR (1-4),3.6,,,,,,,,,0.1,0,0,667624,195669,0,0,74516,51294,23222,2,4,Multifamily Housing,51294,Parking,23222,,,,Missing 2020 EUI or Electricity Data,Not Compliant,,,Multifamily Housing,1.8398417736074697e-05
374,24667,6848200092,2020,Multifamily LR (1-4),AVANTE APTS,AVANTE APARTMENTS L L C,3,EAST,32,1964,525 BELLEVUE AVE E,SEATTLE,WA,98102,47.62392,-122.32706,,,Multifamily LR (1-4),3.0,,,25.5,25.9,578593,569305,71.4,72.6,0.1,0,0,569305,166854,0,0,22326,22326,0,1,4,Multifamily Housing,22326,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7979790715236074e-05
377,24689,6848200250,2020,Multifamily LR (1-4),DUMAR APARTMENTS,DAHLGREN DUMAR LLC,3,EAST,32,1961,520 BELLEVUE AVE E,SEATTLE,WA,98102,47.62386,-122.32644,,,Multifamily LR (1-4),2.8,93,,23.1,23.5,543708,532528,64.5,65.9,0.1,0,0,532528,156075,0,0,23100,23100,0,1,4,Multifamily Housing,23100,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7940092904052538e-05
379,24784,6848200311,2020,Multifamily LR (1-4),BELLA VISTA,600 BELLEVUE AVENUE E LLC,3,EAST,36,1966,400 E MERCER ST,SEATTLE,WA,98102,47.62455,-122.32636,,,Multifamily LR (1-4),4.8,79,,25.8,26.3,916735,900080,72.4,73.7,0.1,0,0,900080,263798,0,0,38521,34824,3697,1,4,Multifamily Housing,34824,Parking,3697,,,,No Issue,Compliant,,,Multifamily Housing,1.819574068036907e-05
380,24790,6848200391,2020,Multifamily LR (1-4),DAKAR APARTMENTS,DAKAR APARTMENTS LLC,3,EAST,34,1963,520 SUMMIT AVE E,SEATTLE,WA,98102,47.6239,-122.32514,,,Multifamily LR (1-4),3.4,,,26.8,27.3,655165,642129,75.0,76.5,0.1,0,0,642130,188197,0,0,23968,23968,0,1,4,Multifamily Housing,23968,,,,,,No Issue,Compliant,,,Multifamily Housing,1.806617533754523e-05
381,24796,7506000000,2020,Multifamily LR (1-4),ST HENRY HOUSE CONDOMINIUM,,3,EAST,NOT_FOUND,1986,1111 10TH AVE E,SEATTLE,WA,98102,47.62915,-122.32058,,,Multifamily LR (1-4),2.5,,,22.4,22.9,488997,476832,62.6,64.2,0.1,0,0,476831,139751,0,0,21312,21312,0,1,4,Multifamily Housing,21312,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7888959649662614e-05
384,25175,6850700615,2020,Multifamily LR (1-4),SHEFFIELD APARTMENTS,M & S EHSAN INVESTMENTS LLC,3,EAST,51,1965,605 BOYLSTON AVE E,SEATTLE,WA,98102,47.62464,-122.32333,,,Multifamily LR (1-4),6.2,68,,28.3,28.9,1197020,1172568,79.3,81.0,0.2,0,0,1172568,343660,0,0,41396,41396,0,1,4,Multifamily Housing,41396,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8041087120991677e-05
387,25185,6851700085,2020,Multifamily LR (1-4),THE EDGE,TURNING POINT SOMERSET L L C,1,EAST,72,1985,500 13TH AVE E,SEATTLE,WA,98102,47.62351,-122.31538,,,Multifamily LR (1-4),5.4,99,,25.5,25.9,1027949,1012072,71.4,72.6,0.1,0,0,1012072,296621,0,0,63505,48155,15350,1,4,Multifamily Housing,39664,Parking,18240,,,,No Issue,Compliant,,,Multifamily Housing,1.820504954133389e-05
390,25202,6851700320,2020,Multifamily LR (1-4),WASHINGTON COURT,GILDOW L L C,3,EAST,31,1987,503 13TH AVE E,SEATTLE,WA,98102,47.62325,-122.31602,,,Multifamily LR (1-4),4.2,79,,32.0,32.8,802782,782269,89.5,91.8,0.2,0,0,782269,229270,0,0,32288,24480,7808,1,4,Multifamily Housing,24480,Parking,7808,,,,No Issue,Compliant,,,Multifamily Housing,1.8319012517991887e-05
391,25242,8896000000,2020,Multifamily LR (1-4),VERSAILLES CONDOMINIUM,,1,EAST,NOT_FOUND,1978,210 BOYLSTON AVE E,SEATTLE,WA,98102,47.62052,-122.32286,,,Multifamily LR (1-4),4.2,52,,34.4,35.3,802983,782048,96.2,98.8,0.2,0,0,782048,229205,0,0,27317,27317,0,1,3,Multifamily Housing,22755,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8324207587094523e-05
392,25322,6852700496,2020,Multifamily LR (1-4),REUNION HOUSE,HOUSING AUTHORITY CITY SEATTLE,3,EAST,28,1984,530 10TH AVE E,SEATTLE,WA,98102,47.62397,-122.31962,,,Multifamily LR (1-4),4.3,40,,33.1,33.9,835126,814250,92.6,95.0,0.2,0,0,814250,238643,0,0,24620,24620,0,1,4,Multifamily Housing,24620,,,,,,No Issue,Compliant,,,Multifamily Housing,1.801854653184883e-05
395,25326,6861900000,2020,Multifamily LR (1-4),PORTAGE BAYSHORE CONDOMINIUM,,1,NORTHEAST,NOT_FOUND,1958,2524 BOYER AVE E,SEATTLE,WA,98102,47.64251,-122.3149,,,Multifamily LR (1-4),4.0,52,,35.7,37.0,788913,761177,100.0,103.6,0.2,0,0,761177,223088,0,0,21312,21312,0,1,4,Multifamily Housing,21312,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7930144158359034e-05
401,26061,6848200745,2020,Multifamily LR (1-4),CASTELLAN,RGD FAMILY LLC,3,EAST,30,1990,607 E HARRISON ST,SEATTLE,WA,98102,47.62175,-122.32376,,,Multifamily LR (1-4),4.6,90,,31.5,31.9,874741,865068,88.2,89.2,0.2,0,0,865068,253537,0,0,36885,27447,9438,1,3,Multifamily Housing,27447,Parking,9438,,,,No Issue,Compliant,,,Multifamily Housing,1.8143308471741795e-05
402,26190,6850700005,2020,Multifamily LR (1-4),ELLENBERT APTS,ELLENBERT APARTMENTS REAL ESTATE INVESTMENTS LLC,3,EAST,43,1928,915 E HARRISON ST,SEATTLE,WA,98102,47.62182,-122.32028,,,Multifamily LR (1-4),2.2,,,,,,,,,0.1,0,0,413607,121221,0,0,43096,37059,6037,1,4,Multifamily Housing,43098,,,,,,Missing 2020 EUI or Electricity Data,Not Compliant,,,Multifamily Housing,1.814867060987783e-05
403,26195,6850700060,2020,Multifamily LR (1-4),SILVIAN APTS,SILVIAN APARTMENTS LLC,3,EAST,32,1914,914 E HARRISON ST,SEATTLE,WA,98102,47.62215,-122.32023,,,Multifamily LR (1-4),4.0,59,,32.4,33.2,772637,752745,90.7,93.1,0.2,0,0,752745,220617,0,0,23242,23242,0,1,4,Multifamily Housing,23242,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8130969054968564e-05
404,26204,6850700410,2020,Multifamily LR (1-4),ROYCROFT APTS,ROYCROFT APARTMENTS LLC,1,EAST,34,1906,317 HARVARD AVE E,SEATTLE,WA,98102,47.62165,-122.32247,,,Multifamily LR (1-4),4.3,86,,23.8,24.6,831478,804512,66.8,69.0,0.1,0,0,804512,235789,0,0,33736,33736,0,1,3,Multifamily Housing,33736,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8236643778971877e-05
405,26210,6850700495,2020,Multifamily LR (1-4),CAMALOT,MERLO LLC,3,EAST,29,1965,533 HARVARD AVE E,SEATTLE,WA,98102,47.62408,-122.32231,,,Multifamily LR (1-4),3.5,83,,23.8,24.4,673530,656872,66.5,68.2,0.1,0,0,656872,192518,0,0,30240,27656,2584,1,4,Multifamily Housing,27656,Parking,0,,,,No Issue,Compliant,,,Multifamily Housing,1.818011822271164e-05
